URL,Domain,Emails,Timestamp
"https://belvederehotelnyc.com","belvederehotelnyc.com","","2025-06-20T20:48:30.323Z"
"https://fourseasons.com","fourseasons.com","","2025-06-20T20:48:30.702Z"
"https://marriott.com","marriott.com","","2025-06-20T20:48:30.892Z"
"https://aman.com","aman.com","","2025-06-20T20:48:30.983Z"
"https://langhamhotels.com","langhamhotels.com","info@langhamhotels.com","2025-06-20T20:48:31.135Z"
"https://mandarinoriental.com","mandarinoriental.com","molon-spa@mohg.com","2025-06-20T20:48:31.238Z"
"https://therockawayhotel.com","therockawayhotel.com","hello@therockawayhotel.com","2025-06-20T20:48:31.283Z"
"https://ihg.com","ihg.com","","2025-06-20T20:48:31.937Z"
"https://publichotels.com","publichotels.com","reservationsny@publichotels.com; 5226reservationsny@publichotels.comphone; reservationsny@publichotels.com","2025-06-20T20:48:32.176Z"
"https://equinox-hotels.com","equinox-hotels.com","reservations.hy@equinox-hotels.com","2025-06-20T20:48:32.839Z"
"https://parkcentralny.com","parkcentralny.com","","2025-06-20T20:48:33.061Z"
"https://hilton.com","hilton.com","","2025-06-20T20:48:33.231Z"
"https://lynewyorkhotel.com","lynewyorkhotel.com","","2025-06-20T20:48:34.529Z"
"https://standardhotels.com","standardhotels.com","","2025-06-20T20:48:34.773Z"
"https://park.marmaranyc.com","park.marmaranyc.com","","2025-06-20T20:48:34.983Z"
"https://thedominickhotel.com","thedominickhotel.com","","2025-06-20T20:48:35.351Z"
"https://fitzpatrickhotels.com","fitzpatrickhotels.com","reservations@fitzpatrickhotels.com","2025-06-20T20:48:36.584Z"
"https://gregorianhotel.com","gregorianhotel.com","info@gregorianhotel.com","2025-06-20T20:48:36.821Z"
"https://solitasohohotel.com","solitasohohotel.com","","2025-06-20T20:48:36.919Z"
"https://royaltonhotel.com","royaltonhotel.com","","2025-06-20T20:48:37.906Z"
"https://thewilliamvale.com","thewilliamvale.com","","2025-06-20T20:48:38.430Z"
"https://pearlhotelnyc.com","pearlhotelnyc.com","","2025-06-20T20:48:39.760Z"
"https://empirehotelnyc.com","empirehotelnyc.com","","2025-06-20T20:48:39.795Z"
"https://parklanenewyork.com","parklanenewyork.com","","2025-06-20T20:48:40.291Z"
"https://loewshotels.com","loewshotels.com","","2025-06-20T20:48:40.482Z"
"https://affinia.com","affinia.com","","2025-06-20T20:48:40.775Z"
"https://rosewoodhotels.com","rosewoodhotels.com","","2025-06-20T20:48:42.228Z"
